tags_collected, collisions_in_seconds, time_in_minutes, random_seed
70, 1621.23, 12, 948153
46, 2341.14, 12, 451107
91, 373.641, 12, 105537
79, 1061.09, 12, 915019
93, 491.859, 12, 804404
92, 432.266, 12, 563418
73, 344.703, 12, 285779
98, 390.672, 12, 105049
62, 1866.45, 12, 851202
80, 1008.03, 12, 970126
93, 401.375, 12, 840001
40, 2154.16, 12, 633003
37, 2172.08, 12, 799548
89, 454.953, 12, 976478
107, 362.062, 12, 795168
48, 2244.44, 12, 610774
43, 2595.62, 12, 783903
43, 2320.36, 12, 18346
48, 2378.67, 12, 222361
90, 397.922, 12, 374714
97, 918.422, 12, 186515
89, 426.484, 12, 78589
79, 422.344, 12, 945569
99, 508.125, 12, 784688
85, 481.516, 12, 568731
89, 396.359, 12, 446685
54, 1787.3, 12, 240946
90, 412.094, 12, 290301
51, 2028.52, 12, 189432
75, 366.219, 12, 409390
98, 416.688, 12, 168163
94, 470.641, 12, 967778
65, 1288.73, 12, 759069
32, 2731.58, 12, 695272
64, 1804.72, 12, 862496
49, 2209.33, 12, 933618
59, 1768.11, 12, 33613
82, 397.969, 12, 108545
94, 420.266, 12, 898492
38, 2675.45, 12, 759783
84, 414.812, 12, 998932
109, 567.078, 12, 800149
59, 1370.91, 12, 654338
79, 368.844, 12, 655019
51, 2350.03, 12, 455004
93, 412.156, 12, 677199
79, 427.312, 12, 511083
110, 480.453, 12, 407635
97, 503.969, 12, 289969
103, 489.672, 12, 180003
64, 1944.52, 12, 12173
57, 2092.72, 12, 252708
49, 2221.38, 12, 525339
45, 2365.33, 12, 767714
93, 320.391, 12, 948014
106, 371.469, 12, 761494
50, 1725.25, 12, 618148
96, 670.703, 12, 716563
91, 471.906, 12, 673634
50, 2080.44, 12, 480234
56, 2235.72, 12, 666127
79, 1114.48, 12, 880558
80, 1246.77, 12, 766605
85, 335.656, 12, 723600
90, 374.906, 12, 507207
43, 2217.03, 12, 296203
89, 366.5, 12, 546349
46, 2260.31, 12, 380364
93, 370, 12, 643456
109, 370.969, 12, 456775
51, 2425, 12, 327276
115, 422.203, 12, 516432
89, 497.812, 12, 314138
52, 1949.03, 12, 159342
44, 2353.17, 12, 315405
70, 1458.19, 12, 572147
110, 526.109, 12, 550663
69, 1494.94, 12, 398141
96, 478, 12, 289870
103, 430.859, 12, 95475
98, 409.984, 12, 906582
85, 427.781, 12, 704650
117, 464.484, 12, 514057
98, 406.922, 12, 324982
99, 392.266, 12, 130681
116, 487.297, 12, 954919
42, 2181.3, 12, 734822
95, 389.781, 12, 885508
56, 2391.27, 12, 735134
76, 1939.86, 12, 921269
111, 368.016, 12, 67171
113, 407.469, 12, 821754
63, 2306.28, 12, 644542
101, 545.625, 12, 717149
69, 1135.77, 12, 629905
85, 1145.88, 12, 547750
90, 1415.47, 12, 519386
56, 1365.58, 12, 523289
56, 2508.75, 12, 500227
82, 373.672, 12, 726429
96, 402.969, 12, 537483
97, 348.859, 12, 880834
73, 302.516, 12, 688306
94, 531.172, 12, 358337
92, 440.812, 12, 7501
98, 476.781, 12, 144351
102, 515.594, 12, 162833
95, 552.75, 12, 244611
106, 753.375, 12, 340364
83, 530.391, 12, 596901
97, 526.25, 12, 613403
108, 447.453, 12, 592780
95, 468.203, 12, 531776
81, 550.906, 12, 586673
80, 601.922, 12, 778414
91, 438.969, 12, 762095
81, 648.016, 12, 837628
73, 550.859, 12, 860599
