tags_collected, collisions_in_seconds, time_in_minutes, random_seed
118, 646.203, 12, 166502
131, 830.672, 12, 128615
133, 569.953, 12, 112665
126, 853.625, 12, 104362
136, 760.375, 12, 61249
117, 521.594, 12, 27953
157, 885.969, 12, 950664
125, 780.047, 12, 960858
131, 698.812, 12, 839595
116, 638.562, 12, 746097
122, 736.078, 12, 620304
118, 595.406, 12, 504527
130, 647.578, 12, 304550
131, 587.172, 12, 150298
130, 809.562, 12, 952444
123, 710.172, 12, 819228
130, 731.781, 12, 746898
134, 635.219, 12, 648010
126, 738.703, 12, 499959
124, 684.812, 12, 309762
133, 579.281, 12, 164105
119, 663.406, 12, 2847
128, 529.422, 12, 852785
130, 795.234, 12, 733135
132, 663.156, 12, 663290
133, 669.438, 12, 580555
134, 618.344, 12, 440148
139, 645.875, 12, 359803
114, 855.547, 12, 291245
119, 812.781, 12, 198374
122, 602.953, 12, 11799
124, 756.906, 12, 837906
132, 773.312, 12, 652328
124, 601.5, 12, 598626
133, 787, 12, 443925
120, 685.984, 12, 368428
139, 718.891, 12, 177467
130, 676.047, 12, 122848
140, 651.406, 12, 971093
130, 712.047, 12, 814644
142, 883.891, 12, 726976
132, 735.297, 12, 592737
120, 860.641, 12, 379640
126, 865.031, 12, 268476
121, 711.797, 12, 213969
132, 853.188, 12, 9639
132, 782.641, 12, 41471
122, 710.906, 12, 974013
135, 630.625, 12, 896399
129, 772.766, 12, 774161
80, 2087.31, 12, 104093
53, 2498.25, 12, 552832
118, 1069.86, 12, 269615
77, 2208.23, 12, 574199
77, 1969.84, 12, 156835
92, 1514.31, 12, 587393
117, 873.766, 12, 927653
85, 1513.42, 12, 39504
60, 2049.11, 12, 424524
56, 2206.73, 12, 731756
87, 1658.16, 12, 92844
111, 588.562, 12, 345090
132, 670.891, 12, 420406
96, 1151.73, 12, 551477
99, 1814.59, 12, 690435
56, 2660.84, 12, 24968
99, 1669.59, 12, 529980
90, 1868.34, 12, 805551
52, 2256.48, 12, 260938
96, 1601.8, 12, 508277
86, 1725.08, 12, 886762
65, 2039.7, 12, 252269
71, 2021.39, 12, 522681
71, 1771.44, 12, 890348
90, 1512.03, 12, 235918
95, 1254.33, 12, 562470
80, 1884.48, 12, 807869
111, 1241.38, 12, 240441
76, 1411.02, 12, 504288
37, 2705.88, 12, 720614
66, 2296.45, 12, 245826
102, 1526.11, 12, 633225
70, 1679.42, 12, 904405
52, 2264.36, 12, 142016
77, 1870.69, 12, 521035
74, 2178.89, 12, 912059
46, 2794.92, 12, 342007
83, 2014.75, 12, 914056
123, 752.719, 12, 420325
54, 1995.05, 12, 583648
66, 2152.88, 12, 850713
114, 1012.72, 12, 73512
66, 2121.36, 12, 442555
66, 2002.03, 12, 110271
107, 852.453, 12, 466964
50, 1999.44, 12, 611085
82, 1782.09, 12, 814581
92, 1386.98, 12, 405619
103, 933.219, 12, 775674
39, 2806.5, 12, 900064
147, 563.891, 12, 480715
157, 472.094, 12, 541069
163, 522.188, 12, 577603
144, 517.422, 12, 575222
144, 574.469, 12, 572178
148, 498.703, 12, 608938
151, 452.109, 12, 557535
165, 510.391, 12, 510268
132, 466.766, 12, 517868
151, 512.859, 12, 496368
134, 441.578, 12, 548773
142, 436.281, 12, 501840
164, 508.953, 12, 561236
145, 571.828, 12, 543094
137, 433.641, 12, 570021
163, 486.906, 12, 543045
158, 497.312, 12, 629267
159, 489.172, 12, 644171
143, 533.156, 12, 612165
132, 388.328, 12, 583190
145, 474.875, 12, 537894
154, 502.594, 12, 557539
140, 520.188, 12, 577279
145, 511.531, 12, 501582
146, 517.656, 12, 493647
140, 479.812, 12, 439110
136, 508.469, 12, 453517
150, 470.641, 12, 518276
145, 545.844, 12, 472467
141, 524.781, 12, 525380
146, 497.953, 12, 557879
148, 458.625, 12, 545565
153, 494.484, 12, 459241
144, 509.922, 12, 486944
155, 568.031, 12, 491323
158, 509.125, 12, 513569
143, 622.016, 12, 578564
154, 481.641, 12, 638657
154, 556.734, 12, 743492
145, 503.844, 12, 775604
148, 498.656, 12, 741627
173, 707.516, 12, 760238
138, 466.625, 12, 816752
160, 500.656, 12, 859886
164, 518.828, 12, 861343
148, 431.719, 12, 877743
148, 487.906, 12, 890478
145, 502.156, 12, 857708
134, 478.156, 12, 866784
150, 519.5, 12, 847684
